source,target,value
azure,.net,0.697773078
sql-server,.net,1.077417474
asp.net,.net,1.613567665
entity-framework,.net,0.812363417
wpf,.net,1.078364174
linq,.net,0.683391462
wcf,.net,0.935813348
c#,.net,2.072263168
tdd,agile,1.238219664
codeigniter,ajax,0.773063347
jquery,ajax,1.685557621
mysql,ajax,0.826669647
css,ajax,0.887123791
php,ajax,0.933689309
javascript,ajax,0.813304814
json,ajax,1.0982482
cloud,amazon-web-services,0.710620227
azure,amazon-web-services,0.710331653
devops,amazon-web-services,0.832784373
docker,amazon-web-services,1.073269034
ios,android,1.325934541
android-studio,android,1.122036106
java,android,1.699491026
android,android-studio,1.122036106
typescript,angular,1.034549393
typescript,angular2,1.295999408
angularjs,angular2,0.867756572
ionic-framework,angularjs,0.994681526
reactjs,angularjs,1.054006743
mongodb,angularjs,1.050357039
css,angularjs,0.740347101
sass,angularjs,0.680862614
twitter-bootstrap,angularjs,0.805122862
javascript,angularjs,1.312554222
express,angularjs,0.81446096
node.js,angularjs,1.585450901
jquery,angularjs,1.011598248
asp.net-web-api,angularjs,0.670436655
angular2,angularjs,0.867756572
html5,angularjs,0.769422134
nginx,apache,1.619439115
mysql,apache,0.969927818
linux,apache,0.938940434
scala,apache-spark,1.693061521
hadoop,apache-spark,1.994226186
rest,api,0.739186304
.net,asp.net,1.613567665
sql,asp.net,0.72240882
sql-server,asp.net,1.98910965
c#,asp.net,2.681618072
asp.net-web-api,asp.net,1.579542405
jquery,asp.net,0.957439274
entity-framework,asp.net,1.60378897
mvc,asp.net,0.760947072
azure,asp.net,0.792135767
wpf,asp.net,0.938634111
linq,asp.net,1.052709258
wcf,asp.net,1.365047391
vb.net,asp.net,0.790378209
asp.net,asp.net-web-api,1.579542405
azure,asp.net-web-api,0.719523159
c#,asp.net-web-api,0.891627385
angularjs,asp.net-web-api,0.670436655
sql-server,asp.net-web-api,0.855882473
wcf,asp.net-web-api,0.945217848
entity-framework,asp.net-web-api,1.039449837
.net,azure,0.697773078
c#,azure,0.738149567
asp.net-web-api,azure,0.719523159
asp.net,azure,0.792135767
amazon-web-services,azure,0.710331653
linux,bash,1.296270525
shell,bash,0.823902186
git,bash,0.903231904
jquery,bootstrap,0.746871822
css,bootstrap,0.823677087
c++,c,2.696368205
python,c,0.744014408
embedded,c,0.946788259
java,c,0.86831531
linq,c#,0.840764388
sql,c#,0.853796787
asp.net,c#,2.681618072
asp.net-web-api,c#,0.891627385
entity-framework,c#,1.024280853
vb.net,c#,0.839504532
.net,c#,2.072263168
sql-server,c#,1.530488375
xamarin,c#,0.822438252
azure,c#,0.738149567
wpf,c#,1.298583073
unity3d,c#,0.833341116
wcf,c#,0.976662668
visual-studio,c#,0.923851448
qt,c++,1.004822001
c,c++,2.696368205
java,c++,0.773369855
python,c++,0.810034856
amazon-web-services,cloud,0.710620227
mysql,codeigniter,0.753229531
jquery,codeigniter,0.890992377
laravel,codeigniter,1.055290311
php,codeigniter,1.246716549
ajax,codeigniter,0.773063347
wordpress,codeigniter,0.837771026
ajax,css,0.887123791
mysql,css,0.900354083
photoshop,css,0.695190714
jquery,css,2.222473523
html,css,4.219037571
javascript,css,2.51788667
html5,css,2.904608995
bootstrap,css,0.823677087
twitter-bootstrap,css,1.05213517
less,css,0.844684511
wordpress,css,1.042160822
angularjs,css,0.740347101
sass,css,1.365445376
php,css,1.714920164
amazon-web-services,devops,0.832784373
docker,devops,0.818473427
jenkins,devops,0.78675292
python,django,1.663531432
flask,django,1.411221438
postgresql,django,0.749641755
amazon-web-services,docker,1.073269034
go,docker,0.945846864
devops,docker,0.818473427
jenkins,docker,0.88428692
wordpress,drupal,0.830643206
maven,eclipse,0.843821982
redis,elasticsearch,0.978303289
mongodb,elasticsearch,0.674266895
c,embedded,0.946788259
.net,entity-framework,0.812363417
wpf,entity-framework,0.807606729
asp.net,entity-framework,1.60378897
sql-server,entity-framework,1.087459303
linq,entity-framework,1.800197652
wcf,entity-framework,1.093865055
asp.net-web-api,entity-framework,1.039449837
c#,entity-framework,1.024280853
vba,excel,1.508691663
excel-vba,excel,1.816841188
vba,excel-vba,1.653873909
excel,excel-vba,1.816841188
reactjs,express,1.06414242
redux,express,0.718115281
angularjs,express,0.81446096
node.js,express,1.960969221
mongodb,express,1.625602027
python,flask,0.841712395
django,flask,1.411221438
jenkins,git,0.769181338
github,git,1.873415464
bash,git,0.903231904
linux,git,0.923626426
git,github,1.873415464
docker,go,0.945846864
scala,hadoop,0.720864482
apache-spark,hadoop,1.994226186
scala,haskell,0.758581334
jsp,hibernate,1.313564866
java,hibernate,1.084118837
spring-boot,hibernate,1.007763457
maven,hibernate,1.136668401
rest,hibernate,0.721555596
web-services,hibernate,0.707031898
spring-mvc,hibernate,2.136996607
java-ee,hibernate,1.33027246
spring,hibernate,3.442276149
mysql,html,0.711856296
javascript,html,1.991849628
php,html,1.522034696
css,html,4.219037571
sass,html,0.787984308
jquery,html,1.474454008
php,html5,1.078350231
wordpress,html5,0.740548025
javascript,html5,1.566878792
angularjs,html5,0.769422134
less,html5,0.697439589
twitter-bootstrap-3,html5,0.738701214
jquery,html5,1.583092446
css,html5,2.904608995
twitter-bootstrap,html5,0.874366112
sass,html5,1.069012555
angularjs,ionic-framework,0.994681526
android,ios,1.325934541
swift,ios,2.907321415
osx,ios,1.011386036
objective-c,ios,2.625309349
iphone,ios,1.905285802
xcode,ios,1.545503026
swift,iphone,1.200779156
xcode,iphone,1.157095502
ios,iphone,1.905285802
objective-c,iphone,1.59926292
spring,java,1.465141974
c++,java,0.773369855
jsp,java,0.720660101
java-ee,java,0.837206094
android,java,1.699491026
hibernate,java,1.084118837
c,java,0.86831531
spring-mvc,java,0.83470716
spring,java-ee,1.327070172
hibernate,java-ee,1.33027246
spring-mvc,java-ee,0.932153062
java,java-ee,0.837206094
jquery,javascript,1.928061051
twitter-bootstrap,javascript,0.674627435
node.js,javascript,1.424390977
mysql,javascript,0.763873024
angularjs,javascript,1.312554222
php,javascript,1.577605252
ajax,javascript,0.813304814
reactjs,javascript,1.11891197
css,javascript,2.51788667
html,javascript,1.991849628
sass,javascript,0.792748996
html5,javascript,1.566878792
git,jenkins,0.769181338
devops,jenkins,0.78675292
maven,jenkins,1.115902693
docker,jenkins,0.88428692
json,jquery,0.687652578
html,jquery,1.474454008
wordpress,jquery,0.96233902
sass,jquery,0.822724271
asp.net,jquery,0.957439274
php,jquery,1.553969697
css,jquery,2.222473523
html5,jquery,1.583092446
ajax,jquery,1.685557621
twitter-bootstrap,jquery,1.226397517
mysql,jquery,1.190432594
angularjs,jquery,1.011598248
twitter-bootstrap-3,jquery,0.705108108
javascript,jquery,1.928061051
codeigniter,jquery,0.890992377
bootstrap,jquery,0.746871822
rest,json,0.83498328
jquery,json,0.687652578
xml,json,1.424055615
ajax,json,1.0982482
hibernate,jsp,1.313564866
java,jsp,0.720660101
spring-mvc,jsp,0.802149675
spring,jsp,1.020444662
vue.js,laravel,0.959996555
php,laravel,1.529491107
mysql,laravel,0.674342202
codeigniter,laravel,1.055290311
sass,less,2.018198038
css,less,0.844684511
html5,less,0.697439589
wcf,linq,1.152903089
sql-server,linq,0.68149307
c#,linq,0.840764388
asp.net,linq,1.052709258
entity-framework,linq,1.800197652
.net,linq,0.683391462
wpf,linq,0.882279719
bash,linux,1.296270525
git,linux,0.923626426
unix,linux,0.845247096
osx,linux,0.780427165
ubuntu,linux,0.996478086
shell,linux,0.704393097
nginx,linux,0.702682615
windows,linux,0.998180026
python,linux,0.705678681
apache,linux,0.938940434
python,machine-learning,1.009025812
r,machine-learning,0.773956568
r,matlab,0.667397757
spring-mvc,maven,0.831126742
jenkins,maven,1.115902693
eclipse,maven,0.843821982
spring,maven,1.317674328
hibernate,maven,1.136668401
express,mongodb,1.625602027
node.js,mongodb,1.95526022
reactjs,mongodb,0.74403244
postgresql,mongodb,0.7618519
mysql,mongodb,0.878975492
redis,mongodb,1.118491038
elasticsearch,mongodb,0.674266895
angularjs,mongodb,1.050357039
asp.net,mvc,0.760947072
css,mysql,0.900354083
jquery,mysql,1.190432594
mongodb,mysql,0.878975492
laravel,mysql,0.674342202
php,mysql,2.169008637
postgresql,mysql,0.86366475
javascript,mysql,0.763873024
html,mysql,0.711856296
ajax,mysql,0.826669647
apache,mysql,0.969927818
codeigniter,mysql,0.753229531
linux,nginx,0.702682615
redis,nginx,0.91577138
apache,nginx,1.619439115
javascript,node.js,1.424390977
reactjs,node.js,1.839758252
express,node.js,1.960969221
angularjs,node.js,1.585450901
mongodb,node.js,1.95526022
react-native,node.js,0.73877501
redux,node.js,0.780064108
xcode,objective-c,1.447294171
iphone,objective-c,1.59926292
swift,objective-c,2.636284526
ios,objective-c,2.625309349
osx,objective-c,0.825439661
sql,oracle,0.727586825
plsql,oracle,1.502050478
windows,osx,0.695341559
objective-c,osx,0.825439661
ios,osx,1.011386036
linux,osx,0.780427165
regex,perl,0.71213593
css,photoshop,0.695190714
css,php,1.714920164
laravel,php,1.529491107
wordpress,php,1.367901517
jquery,php,1.553969697
javascript,php,1.577605252
ajax,php,0.933689309
html,php,1.522034696
mysql,php,2.169008637
html5,php,1.078350231
codeigniter,php,1.246716549
oracle,plsql,1.502050478
sql,plsql,0.75724808
mysql,postgresql,0.86366475
redis,postgresql,0.876006058
ruby-on-rails,postgresql,0.856337011
mongodb,postgresql,0.7618519
django,postgresql,0.749641755
ruby,postgresql,0.726505835
windows,powershell,0.674689687
flask,python,0.841712395
c++,python,0.810034856
machine-learning,python,1.009025812
django,python,1.663531432
c,python,0.744014408
r,python,0.951191595
linux,python,0.705678681
c++,qt,1.004822001
python,r,0.951191595
matlab,r,0.667397757
machine-learning,r,0.773956568
reactjs,react-native,2.051034099
redux,react-native,0.849352716
node.js,react-native,0.73877501
node.js,reactjs,1.839758252
sass,reactjs,0.833265294
react-native,reactjs,2.051034099
redux,reactjs,2.170995169
angularjs,reactjs,1.054006743
mongodb,reactjs,0.74403244
express,reactjs,1.06414242
javascript,reactjs,1.11891197
mongodb,redis,1.118491038
nginx,redis,0.91577138
elasticsearch,redis,0.978303289
postgresql,redis,0.876006058
reactjs,redux,2.170995169
node.js,redux,0.780064108
react-native,redux,0.849352716
express,redux,0.718115281
perl,regex,0.71213593
spring,rest,0.870586621
web-services,rest,1.123022303
api,rest,0.739186304
hibernate,rest,0.721555596
json,rest,0.83498328
postgresql,ruby,0.726505835
ruby-on-rails,ruby,3.178710357
postgresql,ruby-on-rails,0.856337011
ruby,ruby-on-rails,3.178710357
jquery,sass,0.822724271
javascript,sass,0.792748996
reactjs,sass,0.833265294
html,sass,0.787984308
html5,sass,1.069012555
less,sass,2.018198038
angularjs,sass,0.680862614
css,sass,1.365445376
twitter-bootstrap,sass,0.6728496
hadoop,scala,0.720864482
haskell,scala,0.758581334
apache-spark,scala,1.693061521
testing,selenium,1.12286477
bash,shell,0.823902186
linux,shell,0.704393097
web-services,spring,0.672186877
spring-mvc,spring,2.111007244
rest,spring,0.870586621
spring-boot,spring,1.901346422
maven,spring,1.317674328
java-ee,spring,1.327070172
hibernate,spring,3.442276149
jsp,spring,1.020444662
java,spring,1.465141974
spring,spring-boot,1.901346422
hibernate,spring-boot,1.007763457
spring-mvc,spring-boot,2.020560874
maven,spring-mvc,0.831126742
java-ee,spring-mvc,0.932153062
spring,spring-mvc,2.111007244
jsp,spring-mvc,0.802149675
spring-boot,spring-mvc,2.020560874
hibernate,spring-mvc,2.136996607
java,spring-mvc,0.83470716
plsql,sql,0.75724808
sql-server,sql,0.811825764
c#,sql,0.853796787
oracle,sql,0.727586825
asp.net,sql,0.72240882
asp.net-web-api,sql-server,0.855882473
wcf,sql-server,0.876382211
vb.net,sql-server,0.726296448
.net,sql-server,1.077417474
entity-framework,sql-server,1.087459303
asp.net,sql-server,1.98910965
linq,sql-server,0.68149307
sql,sql-server,0.811825764
c#,sql-server,1.530488375
xcode,swift,1.620677829
iphone,swift,1.200779156
objective-c,swift,2.636284526
ios,swift,2.907321415
agile,tdd,1.238219664
selenium,testing,1.12286477
angularjs,twitter-bootstrap,0.805122862
html5,twitter-bootstrap,0.874366112
sass,twitter-bootstrap,0.6728496
jquery,twitter-bootstrap,1.226397517
javascript,twitter-bootstrap,0.674627435
css,twitter-bootstrap,1.05213517
jquery,twitter-bootstrap-3,0.705108108
html5,twitter-bootstrap-3,0.738701214
angular2,typescript,1.295999408
angular,typescript,1.034549393
linux,ubuntu,0.996478086
c#,unity3d,0.833341116
linux,unix,0.845247096
asp.net,vb.net,0.790378209
sql-server,vb.net,0.726296448
c#,vb.net,0.839504532
excel-vba,vba,1.653873909
excel,vba,1.508691663
c#,visual-studio,0.923851448
laravel,vue.js,0.959996555
.net,wcf,0.935813348
entity-framework,wcf,1.093865055
c#,wcf,0.976662668
sql-server,wcf,0.876382211
wpf,wcf,1.772663449
linq,wcf,1.152903089
asp.net,wcf,1.365047391
asp.net-web-api,wcf,0.945217848
rest,web-services,1.123022303
hibernate,web-services,0.707031898
spring,web-services,0.672186877
powershell,windows,0.674689687
linux,windows,0.998180026
osx,windows,0.695341559
php,wordpress,1.367901517
html5,wordpress,0.740548025
css,wordpress,1.042160822
codeigniter,wordpress,0.837771026
drupal,wordpress,0.830643206
jquery,wordpress,0.96233902
linq,wpf,0.882279719
wcf,wpf,1.772663449
entity-framework,wpf,0.807606729
c#,wpf,1.298583073
asp.net,wpf,0.938634111
.net,wpf,1.078364174
c#,xamarin,0.822438252
objective-c,xcode,1.447294171
swift,xcode,1.620677829
iphone,xcode,1.157095502
ios,xcode,1.545503026
json,xml,1.424055615
